input,amount,currency,amount_normalized,timeframe,timeframe_normalized_days,purpose
Want to set aside 500 for savings next 15 Oct 2025.,500,INR,500.0,15 Oct 2025,0,savings
I need 25000 by 15 Oct 2025 to buy a rent.,25000,INR,25000.0,15 Oct 2025,0,rent
I need 10k by 31 Dec 2025 to buy a tuition.,10000,INR,10000.0,31 Dec 2025,64,tuition
I need ₹50000 by within 3 weeks to buy a emergency fund.,50000,INR,50000.0,within 3 weeks,21,emergency fund
"I'm aiming to save 1,200 in 31 Dec 2025 for car.",1200,INR,1200.0,31 Dec 2025,64,car
I'm aiming to save ₹50000 in this summer for wedding.,50000,INR,50000.0,this summer,,wedding
Gotta save $1200 for vacation ASAP.,1200,USD,1200.0,in 6 months,180,vacation
"I need 25,000 by in 5 months to buy a phone.",25000,INR,25000.0,in 5 months,150,phone
Planning to put 100k towards my deposit within by the end of December.,100000,INR,100000.0,by the end of December,,deposit
Want to set aside Rs. 10000 for car next within 3 weeks.,10000,INR,10000.0,within 3 weeks,21,car
Want to set aside ₹50000 for gift next by 15 Oct 2025.,50000,INR,50000.0,by 15 Oct 2025,,gift
Planning to put $5000 towards my groceries within July 2026.,5000,USD,5000.0,July 2026,246,groceries
Can I save $2500 over the next 15 Oct 2025 for groceries?,2500,USD,2500.0,15 Oct 2025,0,groceries
Can I save $100000 over the next this summer for wedding?,100000,USD,100000.0,this summer,,wedding
Gotta save ₹2500 for laptop ASAP.,2500,INR,2500.0,by the end of December,,laptop
I'm aiming to save ₹50000 in 25-12-2025 for bike.,50000,INR,50000.0,25-12-2025,58,bike
Can I save Rs. 25000 over the next this summer for phone?,25000,INR,25000.0,this summer,,phone
Planning to put $50000 towards my emergency fund within over the next 3 months.,50000,USD,50000.0,over the next 3 months,90,emergency fund
"Can I save 2,500 over the next in 10 days for wedding?",2500,INR,2500.0,in 10 days,10,wedding
Planning to put ₹10000 towards my car within over the next 3 months.,10000,INR,10000.0,over the next 3 months,90,car
Save ₹500 for savings in over the next 3 months.,500,INR,500.0,over the next 3 months,90,savings
Save 500 for tuition in ASAP.,500,INR,500.0,ASAP,7,tuition
I'm aiming to save Rs. 50000 in ASAP for wedding.,50000,INR,50000.0,ASAP,7,wedding
Can I save 10000 over the next in 6 months for bike?,10000,INR,10000.0,in 6 months,180,bike
Can I save Rs. 2500 over the next by 15 Oct 2025 for gift?,2500,INR,2500.0,by 15 Oct 2025,,gift
Can I save ₹2500 over the next by 15 Oct 2025 for tuition?,2500,INR,2500.0,by 15 Oct 2025,,tuition
Planning to put twenty five thousand rupees towards my phone within by the end of December.,25000,INR,25000.0,by the end of December,,phone
Planning to put Rs. 10000 towards my emergency fund within by 15 Oct 2025.,10000,INR,10000.0,by 15 Oct 2025,,emergency fund
I'm aiming to save 100000 in in 6 months for mobile.,100000,INR,100000.0,in 6 months,180,phone
Can I save Rs. 5000 over the next by 15 Oct 2025 for vacation?,5000,INR,5000.0,by 15 Oct 2025,,vacation
Save $5000 for car in July 2026.,5000,USD,5000.0,July 2026,246,car
Save 1200 for groceries in by 15 Oct 2025.,1200,INR,1200.0,by 15 Oct 2025,,groceries
Planning to put $25000 towards my trip within within 2 weeks.,25000,USD,25000.0,within 2 weeks,14,trip
Gotta save 100k for gift ASAP.,100000,INR,100000.0,within 2 weeks,14,gift
Need $5000 for groceries by July 2026.,5000,USD,5000.0,July 2026,246,groceries
I need $25000 by by 15 Oct 2025 to buy a bike.,25000,USD,25000.0,by 15 Oct 2025,,bike
Can I save 2500 over the next in 5 months for tuition?,2500,INR,2500.0,in 5 months,150,tuition
I need 50k by by 15 Oct 2025 to buy a mobile.,50000,INR,50000.0,by 15 Oct 2025,,phone
I need ₹2500 by in 10 days to buy a car.,2500,INR,2500.0,in 10 days,10,car
"Save 25,000 for vacation in over the next 3 months.",25000,INR,25000.0,over the next 3 months,90,vacation
I need 25k by within 3 weeks to buy a phone.,25000,INR,25000.0,within 3 weeks,21,phone
Gotta save Rs. 100000 for groceries ASAP.,100000,INR,100000.0,by the end of December,,groceries
Want to set aside 100k for trip next 15 Oct 2025.,100000,INR,100000.0,15 Oct 2025,0,trip
Planning to put 500 towards my deposit within in 6 months.,500,INR,500.0,in 6 months,180,deposit
Gotta save Rs. 5000 for vacation ASAP.,5000,INR,5000.0,next year,365,vacation
Need 100000 for deposit by within 2 weeks.,100000,INR,100000.0,within 2 weeks,14,deposit
Gotta save 25000 for groceries ASAP.,25000,INR,25000.0,in 6 months,180,groceries
I need five k by in 10 days to buy a wedding.,5,INR,5.0,in 10 days,10,wedding
Can I save 2500 over the next 15 Oct 2025 for trip?,2500,INR,2500.0,15 Oct 2025,0,trip
"Save 50,000 for savings in 31 Dec 2025.",50000,INR,50000.0,31 Dec 2025,64,savings
I need 25000 by over the next 3 months to buy a rent.,25000,INR,25000.0,over the next 3 months,90,rent
Can I save $50000 over the next in 6 months for mobile?,50000,USD,50000.0,in 6 months,180,phone
"Want to set aside 100,000 for mobile next 1 Jan 2026.",100000,INR,100000.0,1 Jan 2026,65,phone
"Gotta save 10,000 for trip ASAP.",10000,INR,10000.0,this summer,,trip
Need Rs. 5000 for mobile by July 2026.,5000,INR,5000.0,next year,365,phone
"Save 50,000 for medical in in 5 months.",50000,INR,50000.0,in 5 months,150,medical
Can I save twenty five thousand rupees over the next by the end of December for deposit?,25000,INR,25000.0,by the end of December,,deposit
I need 100k by Oct 15 2025 to buy a medical.,100000,INR,100000.0,Oct 15 2025,0,medical
Can I save ₹1200 over the next 31 Dec 2025 for wedding?,1200,INR,1200.0,31 Dec 2025,64,wedding
I need ₹2500 by 25-12-2025 to buy a gift.,2500,INR,2500.0,25-12-2025,58,gift
Can I save 25k over the next within 3 weeks for phone?,25000,INR,25000.0,within 3 weeks,21,phone
"Want to set aside 5,000 for savings next 31 Dec 2025.",5000,INR,5000.0,31 Dec 2025,64,savings
Save Rs. 50000 for rent in within 3 weeks.,50000,INR,50000.0,within 3 weeks,21,rent
Want to set aside $2500 for savings next Oct 15 2025.,2500,USD,2500.0,Oct 15 2025,0,savings
Need five k for gift by in 10 days.,5,INR,5.0,in 10 days,10,gift
Planning to put Rs. 50000 towards my mobile within July 2026.,50000,INR,50000.0,July 2026,246,phone
I need $500 by July 2026 to buy a trip.,500,USD,500.0,July 2026,246,trip
Need 50k for deposit by by 15 Oct 2025.,50000,INR,50000.0,by 15 Oct 2025,,deposit
Can I save $1200 over the next in 6 months for rent?,1200,USD,1200.0,in 6 months,180,rent
Want to set aside Rs. 500 for car next 31 Dec 2025.,500,INR,500.0,31 Dec 2025,64,car
Planning to put Rs. 500 towards my deposit within over the next 3 months.,500,INR,500.0,over the next 3 months,90,deposit
Gotta save ₹2500 for medical ASAP.,2500,INR,2500.0,next year,365,medical
"I'm aiming to save 5,000 in Oct 15 2025 for wedding.",5000,INR,5000.0,Oct 15 2025,0,wedding
"Need 10,000 for phone by 25-12-2025.",10000,INR,10000.0,next year,365,phone
Want to set aside Rs. 50000 for car next Oct 15 2025.,50000,INR,50000.0,Oct 15 2025,0,car
Need ₹100000 for laptop by 25-12-2025.,100000,INR,100000.0,25-12-2025,58,laptop
I'm aiming to save Rs. 5000 in ASAP for deposit.,5000,INR,5000.0,ASAP,7,deposit
Need ₹500 for deposit by 31 Dec 2025.,500,INR,500.0,31 Dec 2025,64,deposit
Save 25k for medical in 15 Oct 2025.,25000,INR,25000.0,15 Oct 2025,0,medical
Save 2500 for car in within 2 weeks.,2500,INR,2500.0,within 2 weeks,14,car
I need 1200 by next year to buy a smartphone.,1200,INR,1200.0,next year,365,phone
"I'm aiming to save 50,000 in 1 Jan 2026 for trip.",50000,INR,50000.0,1 Jan 2026,65,trip
Need 25000 for vacation by within 3 weeks.,25000,INR,25000.0,within 3 weeks,21,vacation
Can I save 50000 over the next within 2 weeks for bike?,50000,INR,50000.0,within 2 weeks,14,bike
Gotta save 5k for smartphone ASAP.,5000,INR,5000.0,31 Dec 2025,64,phone
Need ₹1200 for tuition by in 5 months.,1200,INR,1200.0,in 5 months,150,tuition
"Save 50,000 for rent in 31 Dec 2025.",50000,INR,50000.0,31 Dec 2025,64,rent
"Can I save 25,000 over the next 1 Jan 2026 for medical?",25000,INR,25000.0,1 Jan 2026,65,medical
Need $50000 for vacation by 31 Dec 2025.,50000,USD,50000.0,next year,365,vacation
Planning to put $1200 towards my wedding within Oct 15 2025.,1200,USD,1200.0,Oct 15 2025,0,wedding
I'm aiming to save 100000 in in 5 months for emergency fund.,100000,INR,100000.0,in 5 months,150,emergency fund
Planning to put ten thousand towards my bike within 15 Oct 2025.,10000,INR,10000.0,15 Oct 2025,0,bike
"I need 25,000 by 15 Oct 2025 to buy a bike.",25000,INR,25000.0,15 Oct 2025,0,bike
Save ₹500 for mobile in ASAP.,500,INR,500.0,ASAP,7,phone
Save $25000 for smartphone in in 10 days.,25000,USD,25000.0,in 10 days,10,phone
I'm aiming to save ₹2500 in ASAP for wedding.,2500,INR,2500.0,ASAP,7,wedding
"I'm aiming to save 25,000 in in 6 months for wedding.",25000,INR,25000.0,in 6 months,180,wedding
Planning to put ₹25000 towards my savings within next year.,25000,INR,25000.0,next year,365,savings
Save 5000 for trip in in 6 months.,5000,INR,5000.0,in 6 months,180,trip
Can I save 50000 over the next in 5 months for mobile?,50000,INR,50000.0,in 5 months,150,phone
I need 5000 by in 6 months to buy a savings.,5000,INR,5000.0,in 6 months,180,savings
Need $500 for laptop by 1 Jan 2026.,500,USD,500.0,1 Jan 2026,65,laptop
"Planning to put 100,000 towards my car within in 5 months.",100000,INR,100000.0,in 5 months,150,car
I need Rs. 2500 by by the end of December to buy a groceries.,2500,INR,2500.0,by the end of December,,groceries
Gotta save $500 for savings ASAP.,500,USD,500.0,July 2026,246,savings
Planning to put 10000 towards my medical within within 3 weeks.,10000,INR,10000.0,within 3 weeks,21,medical
Planning to put Rs. 5000 towards my mobile within 15 Oct 2025.,5000,INR,5000.0,15 Oct 2025,0,phone
"Need 100,000 for emergency fund by by 15 Oct 2025.",100000,INR,100000.0,by 15 Oct 2025,,emergency fund
"Want to set aside 100,000 for car next this summer.",100000,INR,100000.0,this summer,,car
I need 5k by next year to buy a phone.,5000,INR,5000.0,next year,365,phone
Can I save $100000 over the next by 15 Oct 2025 for gift?,100000,USD,100000.0,by 15 Oct 2025,,gift
Need ₹10000 for medical by by 15 Oct 2025.,10000,INR,10000.0,by 15 Oct 2025,,medical
Gotta save ₹50000 for smartphone ASAP.,50000,INR,50000.0,this summer,,phone
I'm aiming to save ₹100000 in in 5 months for bike.,100000,INR,100000.0,in 5 months,150,bike
Want to set aside ₹500 for savings next over the next 3 months.,500,INR,500.0,over the next 3 months,90,savings
I'm aiming to save Rs. 100000 in 1 Jan 2026 for savings.,100000,INR,100000.0,1 Jan 2026,65,savings
Can I save Rs. 50000 over the next in 10 days for medical?,50000,INR,50000.0,in 10 days,10,medical
Save 500 for medical in in 6 months.,500,INR,500.0,in 6 months,180,medical
Save fifteen thousand for phone in 1 Jan 2026.,15000,INR,15000.0,1 Jan 2026,65,phone
"Want to set aside 5,000 for smartphone next Oct 15 2025.",5000,INR,5000.0,Oct 15 2025,0,phone
Planning to put twenty five thousand rupees towards my smartphone within July 2026.,25000,INR,25000.0,July 2026,246,phone
I need $1200 by within 2 weeks to buy a car.,1200,USD,1200.0,within 2 weeks,14,car
Need 100000 for vacation by 15 Oct 2025.,100000,INR,100000.0,15 Oct 2025,0,vacation
I'm aiming to save Rs. 1200 in ASAP for mobile.,1200,INR,1200.0,ASAP,7,phone
Gotta save 100k for laptop ASAP.,100000,INR,100000.0,ASAP,7,laptop
Planning to put $500 towards my trip within by the end of December.,500,USD,500.0,by the end of December,,trip
Want to set aside fifteen thousand for bike next in 6 months.,15000,INR,15000.0,in 6 months,180,bike
Gotta save Rs. 1200 for phone ASAP.,1200,INR,1200.0,1 Jan 2026,65,phone
I need Rs. 25000 by within 3 weeks to buy a bike.,25000,INR,25000.0,within 3 weeks,21,bike
I need Rs. 5000 by this summer to buy a bike.,5000,INR,5000.0,this summer,,bike
Want to set aside fifteen thousand for bike next within 3 weeks.,15000,INR,15000.0,within 3 weeks,21,bike
Save 100k for bike in 1 Jan 2026.,100000,INR,100000.0,1 Jan 2026,65,bike
Need Rs. 100000 for laptop by in 10 days.,100000,INR,100000.0,in 10 days,10,laptop
Can I save 50000 over the next 15 Oct 2025 for rent?,50000,INR,50000.0,15 Oct 2025,0,rent
Need fifteen thousand for rent by Oct 15 2025.,15000,INR,15000.0,Oct 15 2025,0,rent
Need ₹2500 for groceries by within 3 weeks.,2500,INR,2500.0,within 3 weeks,21,groceries
I'm aiming to save ₹1200 in over the next 3 months for smartphone.,1200,INR,1200.0,over the next 3 months,90,phone
Need ₹25000 for deposit by within 3 weeks.,25000,INR,25000.0,within 3 weeks,21,deposit
Gotta save Rs. 2500 for trip ASAP.,2500,INR,2500.0,within 2 weeks,14,trip
Gotta save 25k for deposit ASAP.,25000,INR,25000.0,over the next 3 months,90,deposit
"I need 25,000 by by 15 Oct 2025 to buy a medical.",25000,INR,25000.0,by 15 Oct 2025,,medical
Planning to put Rs. 10000 towards my emergency fund within within 3 weeks.,10000,INR,10000.0,within 3 weeks,21,emergency fund
I'm aiming to save $5000 in this summer for smartphone.,5000,USD,5000.0,this summer,,phone
Planning to put 1200 towards my smartphone within in 5 months.,1200,INR,1200.0,in 5 months,150,phone
Save 25k for laptop in ASAP.,25000,INR,25000.0,ASAP,7,laptop
I need $50000 by within 2 weeks to buy a laptop.,50000,USD,50000.0,within 2 weeks,14,laptop
Need twenty five thousand rupees for savings by in 5 months.,25000,INR,25000.0,in 5 months,150,savings
Want to set aside Rs. 100000 for trip next within 2 weeks.,100000,INR,100000.0,within 2 weeks,14,trip
I'm aiming to save 5k in 1 Jan 2026 for bike.,5000,INR,5000.0,1 Jan 2026,65,bike
Save ten thousand for vacation in ASAP.,10000,INR,10000.0,ASAP,7,vacation
Gotta save 25k for phone ASAP.,25000,INR,25000.0,by 15 Oct 2025,,phone
Need $100000 for smartphone by in 5 months.,100000,USD,100000.0,in 5 months,150,phone
I'm aiming to save Rs. 10000 in 31 Dec 2025 for trip.,10000,INR,10000.0,31 Dec 2025,64,trip
Want to set aside Rs. 100000 for groceries next Oct 15 2025.,100000,INR,100000.0,Oct 15 2025,0,groceries
I need $50000 by July 2026 to buy a mobile.,50000,USD,50000.0,July 2026,246,phone
Need 25000 for car by Oct 15 2025.,25000,INR,25000.0,next year,365,car
"Need 1,200 for gift by within 2 weeks.",1200,INR,1200.0,within 2 weeks,14,gift
Save Rs. 5000 for tuition in 1 Jan 2026.,5000,INR,5000.0,1 Jan 2026,65,tuition
Need ₹2500 for vacation by 15 Oct 2025.,2500,INR,2500.0,ASAP,7,vacation
I need $500 by this summer to buy a rent.,500,USD,500.0,this summer,,rent
Gotta save Rs. 10000 for deposit ASAP.,10000,INR,10000.0,ASAP,7,deposit
Planning to put ₹5000 towards my rent within in 6 months.,5000,INR,5000.0,in 6 months,180,rent
I need $1200 by in 5 months to buy a bike.,1200,USD,1200.0,in 5 months,150,bike
Gotta save Rs. 10000 for tuition ASAP.,10000,INR,10000.0,by 15 Oct 2025,,tuition
I'm aiming to save 50k in in 5 months for rent.,50000,INR,50000.0,in 5 months,150,rent
Save five k for laptop in this summer.,5,INR,5.0,this summer,,laptop
Gotta save 500 for wedding ASAP.,500,INR,500.0,within 3 weeks,21,wedding
I need $500 by 31 Dec 2025 to buy a bike.,500,USD,500.0,31 Dec 2025,64,bike
Want to set aside fifteen thousand for phone next in 6 months.,15000,INR,15000.0,in 6 months,180,phone
Save ₹10000 for deposit in 31 Dec 2025.,10000,INR,10000.0,31 Dec 2025,64,deposit
I'm aiming to save $500 in within 3 weeks for mobile.,500,USD,500.0,within 3 weeks,21,phone
I'm aiming to save fifteen thousand in next year for groceries.,15000,INR,15000.0,next year,365,groceries
Can I save 25000 over the next in 10 days for deposit?,25000,INR,25000.0,in 10 days,10,deposit
Need ₹100000 for tuition by 1 Jan 2026.,100000,INR,100000.0,ASAP,7,tuition
Need 10k for tuition by in 6 months.,10000,INR,10000.0,in 6 months,180,tuition
Can I save $25000 over the next over the next 3 months for mobile?,25000,USD,25000.0,over the next 3 months,90,phone
Need Rs. 50000 for bike by 1 Jan 2026.,50000,INR,50000.0,1 Jan 2026,65,bike
"Planning to put 100,000 towards my deposit within 15 Oct 2025.",100000,INR,100000.0,15 Oct 2025,0,deposit
I'm aiming to save ten thousand in Oct 15 2025 for tuition.,10000,INR,10000.0,Oct 15 2025,0,tuition
Need 1200 for smartphone by by 15 Oct 2025.,1200,INR,1200.0,by 15 Oct 2025,,phone
"Gotta save 1,200 for groceries ASAP.",1200,INR,1200.0,1 Jan 2026,65,groceries
Planning to put twenty five thousand rupees towards my smartphone within within 2 weeks.,25000,INR,25000.0,within 2 weeks,14,phone
Save 1200 for medical in within 2 weeks.,1200,INR,1200.0,within 2 weeks,14,medical
Gotta save 1200 for groceries ASAP.,1200,INR,1200.0,July 2026,246,groceries
Need ₹2500 for emergency fund by 31 Dec 2025.,2500,INR,2500.0,by the end of December,,emergency fund
Can I save Rs. 1200 over the next 1 Jan 2026 for emergency fund?,1200,INR,1200.0,1 Jan 2026,65,emergency fund
I'm aiming to save $500 in Oct 15 2025 for car.,500,USD,500.0,Oct 15 2025,0,car
I need Rs. 10000 by July 2026 to buy a emergency fund.,10000,INR,10000.0,July 2026,246,emergency fund
I need ₹10000 by within 2 weeks to buy a groceries.,10000,INR,10000.0,within 2 weeks,14,groceries
Need $25000 for phone by July 2026.,25000,USD,25000.0,ASAP,7,phone
I need 1200 by 31 Dec 2025 to buy a wedding.,1200,INR,1200.0,31 Dec 2025,64,wedding
Gotta save 25k for bike ASAP.,25000,INR,25000.0,next year,365,bike
Planning to put Rs. 5000 towards my groceries within ASAP.,5000,INR,5000.0,ASAP,7,groceries
"I'm aiming to save 100,000 in next year for laptop.",100000,INR,100000.0,next year,365,laptop
Want to set aside Rs. 1200 for laptop next within 2 weeks.,1200,INR,1200.0,within 2 weeks,14,laptop
Planning to put Rs. 500 towards my wedding within in 5 months.,500,INR,500.0,in 5 months,150,wedding
Gotta save 25k for smartphone ASAP.,25000,INR,25000.0,25-12-2025,58,phone
Need fifteen thousand for deposit by over the next 3 months.,15000,INR,15000.0,over the next 3 months,90,deposit
Want to set aside 25k for trip next over the next 3 months.,25000,INR,25000.0,over the next 3 months,90,trip
I need 5k by Oct 15 2025 to buy a rent.,5000,INR,5000.0,Oct 15 2025,0,rent
I'm aiming to save 50k in within 3 weeks for tuition.,50000,INR,50000.0,within 3 weeks,21,tuition
Need 500 for gift by 15 Oct 2025.,500,INR,500.0,15 Oct 2025,0,gift
Need 25000 for emergency fund by 25-12-2025.,25000,INR,25000.0,25-12-2025,58,emergency fund
Need $500 for tuition by 15 Oct 2025.,500,USD,500.0,15 Oct 2025,0,tuition
Planning to put Rs. 500 towards my mobile within 31 Dec 2025.,500,INR,500.0,31 Dec 2025,64,phone
Need ₹10000 for rent by in 5 months.,10000,INR,10000.0,in 5 months,150,rent
Need $25000 for vacation by 25-12-2025.,25000,USD,25000.0,25-12-2025,58,vacation
Save Rs. 100000 for mobile in within 3 weeks.,100000,INR,100000.0,within 3 weeks,21,phone
I'm aiming to save $5000 in Oct 15 2025 for deposit.,5000,USD,5000.0,Oct 15 2025,0,deposit
Save Rs. 500 for gift in over the next 3 months.,500,INR,500.0,over the next 3 months,90,gift
"Planning to put 100,000 towards my rent within by the end of December.",100000,INR,100000.0,by the end of December,,rent
I need $25000 by over the next 3 months to buy a bike.,25000,USD,25000.0,over the next 3 months,90,bike
"Need 1,200 for vacation by by 15 Oct 2025.",1200,INR,1200.0,by 15 Oct 2025,,vacation
"Can I save 2,500 over the next over the next 3 months for mobile?",2500,INR,2500.0,over the next 3 months,90,phone
"Can I save 10,000 over the next by 15 Oct 2025 for groceries?",10000,INR,10000.0,by 15 Oct 2025,,groceries
"I need 10,000 by by the end of December to buy a rent.",10000,INR,10000.0,by the end of December,,rent
Need ₹2500 for mobile by July 2026.,2500,INR,2500.0,July 2026,246,phone
"Planning to put 25,000 towards my tuition within in 5 months.",25000,INR,25000.0,in 5 months,150,tuition
Save 2500 for laptop in Oct 15 2025.,2500,INR,2500.0,Oct 15 2025,0,laptop
Planning to put 50000 towards my savings within in 6 months.,50000,INR,50000.0,in 6 months,180,savings
Gotta save Rs. 2500 for bike ASAP.,2500,INR,2500.0,within 2 weeks,14,bike
"I need 2,500 by within 3 weeks to buy a wedding.",2500,INR,2500.0,within 3 weeks,21,wedding
Planning to put 5k towards my tuition within over the next 3 months.,5000,INR,5000.0,over the next 3 months,90,tuition
"I need 5,000 by 31 Dec 2025 to buy a vacation.",5000,INR,5000.0,31 Dec 2025,64,vacation
Planning to put ₹1200 towards my smartphone within by 15 Oct 2025.,1200,INR,1200.0,by 15 Oct 2025,,phone
Need Rs. 2500 for medical by Oct 15 2025.,2500,INR,2500.0,this summer,,medical
Planning to put twenty five thousand rupees towards my savings within within 2 weeks.,25000,INR,25000.0,within 2 weeks,14,savings
Gotta save Rs. 2500 for laptop ASAP.,2500,INR,2500.0,in 10 days,10,laptop
"Want to set aside 5,000 for wedding next July 2026.",5000,INR,5000.0,July 2026,246,wedding
Gotta save 50000 for medical ASAP.,50000,INR,50000.0,in 10 days,10,medical
Gotta save Rs. 5000 for trip ASAP.,5000,INR,5000.0,1 Jan 2026,65,trip
I need 25k by by 15 Oct 2025 to buy a groceries.,25000,INR,25000.0,by 15 Oct 2025,,groceries
Want to set aside Rs. 1200 for phone next ASAP.,1200,INR,1200.0,ASAP,7,phone
I need Rs. 25000 by within 2 weeks to buy a vacation.,25000,INR,25000.0,within 2 weeks,14,vacation
Gotta save $500 for vacation ASAP.,500,USD,500.0,July 2026,246,vacation
Gotta save Rs. 500 for smartphone ASAP.,500,INR,500.0,25-12-2025,58,phone
"Gotta save 2,500 for trip ASAP.",2500,INR,2500.0,15 Oct 2025,0,trip
"Need 5,000 for mobile by 15 Oct 2025.",5000,INR,5000.0,15 Oct 2025,0,phone
"Can I save 100,000 over the next 31 Dec 2025 for emergency fund?",100000,INR,100000.0,31 Dec 2025,64,emergency fund
Gotta save $5000 for groceries ASAP.,5000,USD,5000.0,in 10 days,10,groceries
Want to set aside 10k for car next 1 Jan 2026.,10000,INR,10000.0,1 Jan 2026,65,car
Gotta save ₹50000 for vacation ASAP.,50000,INR,50000.0,31 Dec 2025,64,vacation
Can I save Rs. 50000 over the next 25-12-2025 for vacation?,50000,INR,50000.0,25-12-2025,58,vacation
Can I save Rs. 50000 over the next 31 Dec 2025 for deposit?,50000,INR,50000.0,31 Dec 2025,64,deposit
Want to set aside 10k for vacation next 15 Oct 2025.,10000,INR,10000.0,15 Oct 2025,0,vacation
Gotta save ₹500 for rent ASAP.,500,INR,500.0,July 2026,246,rent
I need Rs. 25000 by 31 Dec 2025 to buy a savings.,25000,INR,25000.0,31 Dec 2025,64,savings
I need ₹1200 by in 5 months to buy a savings.,1200,INR,1200.0,in 5 months,150,savings
Save ₹500 for smartphone in over the next 3 months.,500,INR,500.0,over the next 3 months,90,phone
I'm aiming to save $50000 in in 6 months for trip.,50000,USD,50000.0,in 6 months,180,trip
Need ₹500 for deposit by 15 Oct 2025.,500,INR,500.0,15 Oct 2025,0,deposit
Save ₹25000 for mobile in over the next 3 months.,25000,INR,25000.0,over the next 3 months,90,phone
Save 50000 for laptop in 31 Dec 2025.,50000,INR,50000.0,31 Dec 2025,64,laptop
Planning to put Rs. 2500 towards my phone within 25-12-2025.,2500,INR,2500.0,25-12-2025,58,phone
Gotta save 2500 for bike ASAP.,2500,INR,2500.0,in 10 days,10,bike
Gotta save Rs. 25000 for vacation ASAP.,25000,INR,25000.0,25-12-2025,58,vacation
I need ten thousand by 25-12-2025 to buy a mobile.,10000,INR,10000.0,25-12-2025,58,phone
Save twenty five thousand rupees for wedding in in 10 days.,25000,INR,25000.0,in 10 days,10,wedding
Want to set aside ₹100000 for medical next July 2026.,100000,INR,100000.0,July 2026,246,medical
"Save 2,500 for car in within 3 weeks.",2500,INR,2500.0,within 3 weeks,21,car
Save 5000 for wedding in over the next 3 months.,5000,INR,5000.0,over the next 3 months,90,wedding
I'm aiming to save 5000 in Oct 15 2025 for deposit.,5000,INR,5000.0,Oct 15 2025,0,deposit
Need ₹10000 for bike by 25-12-2025.,10000,INR,10000.0,25-12-2025,58,bike
Want to set aside 2500 for savings next in 5 months.,2500,INR,2500.0,in 5 months,150,savings
Want to set aside Rs. 1200 for smartphone next in 5 months.,1200,INR,1200.0,in 5 months,150,phone
Gotta save 10k for deposit ASAP.,10000,INR,10000.0,over the next 3 months,90,deposit
Can I save $5000 over the next within 3 weeks for gift?,5000,USD,5000.0,within 3 weeks,21,gift
Gotta save ₹5000 for mobile ASAP.,5000,INR,5000.0,within 2 weeks,14,phone
I need ₹1200 by Oct 15 2025 to buy a vacation.,1200,INR,1200.0,Oct 15 2025,0,vacation
Need $50000 for groceries by 25-12-2025.,50000,USD,50000.0,next year,365,groceries
Planning to put 10000 towards my gift within within 3 weeks.,10000,INR,10000.0,within 3 weeks,21,gift
I'm aiming to save 5000 in within 3 weeks for medical.,5000,INR,5000.0,within 3 weeks,21,medical
"Can I save 5,000 over the next by the end of December for car?",5000,INR,5000.0,by the end of December,,car
Can I save ₹5000 over the next 1 Jan 2026 for tuition?,5000,INR,5000.0,1 Jan 2026,65,tuition
Save ₹100000 for deposit in by the end of December.,100000,INR,100000.0,by the end of December,,deposit
Can I save $100000 over the next in 5 months for emergency fund?,100000,USD,100000.0,in 5 months,150,emergency fund
Need 5k for trip by within 2 weeks.,5000,INR,5000.0,within 2 weeks,14,trip
I need Rs. 25000 by by the end of December to buy a car.,25000,INR,25000.0,by the end of December,,car
I'm aiming to save Rs. 5000 in 15 Oct 2025 for smartphone.,5000,INR,5000.0,15 Oct 2025,0,phone
Gotta save 50k for groceries ASAP.,50000,INR,50000.0,25-12-2025,58,groceries
Want to set aside $100000 for emergency fund next in 5 months.,100000,USD,100000.0,in 5 months,150,emergency fund
Save ₹1200 for phone in over the next 3 months.,1200,INR,1200.0,over the next 3 months,90,phone
I need 50000 by 25-12-2025 to buy a phone.,50000,INR,50000.0,25-12-2025,58,phone
Can I save 5000 over the next 1 Jan 2026 for vacation?,5000,INR,5000.0,1 Jan 2026,65,vacation
I'm aiming to save ₹50000 in within 2 weeks for car.,50000,INR,50000.0,within 2 weeks,14,car
I'm aiming to save $2500 in by the end of December for rent.,2500,USD,2500.0,by the end of December,,rent
Planning to put 50000 towards my tuition within within 2 weeks.,50000,INR,50000.0,within 2 weeks,14,tuition
I'm aiming to save $10000 in ASAP for trip.,10000,USD,10000.0,ASAP,7,trip
I need fifteen thousand by next year to buy a deposit.,15000,INR,15000.0,next year,365,deposit
I'm aiming to save ₹5000 in within 2 weeks for groceries.,5000,INR,5000.0,within 2 weeks,14,groceries
"Need 2,500 for laptop by 1 Jan 2026.",2500,INR,2500.0,this summer,,laptop
Planning to put ₹2500 towards my phone within 1 Jan 2026.,2500,INR,2500.0,1 Jan 2026,65,phone
I need $5000 by 31 Dec 2025 to buy a savings.,5000,USD,5000.0,31 Dec 2025,64,savings
Need Rs. 500 for car by 15 Oct 2025.,500,INR,500.0,ASAP,7,car
Can I save Rs. 100000 over the next over the next 3 months for gift?,100000,INR,100000.0,over the next 3 months,90,gift
Save 1200 for vacation in Oct 15 2025.,1200,INR,1200.0,Oct 15 2025,0,vacation
I need $25000 by 25-12-2025 to buy a smartphone.,25000,USD,25000.0,25-12-2025,58,phone
Gotta save Rs. 2500 for gift ASAP.,2500,INR,2500.0,within 3 weeks,21,gift
