input,amount,currency,amount_normalized,purpose_canonical,timeframe,target_compact
Im aiming to save $150k in by New Year for wedding.,150000,USD,150000.0,wedding,by New Year,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by New Year
"I need $2,000 by by Diwali to buy a vacation.",2000,USD,2000.0,travel,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:by Diwali
"Im aiming to save $2,000 in before Eid for deposit.",2000,USD,2000.0,deposit,before Eid,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:deposit;timeframe:before Eid
Save fifteen thousand for tuition in by 15 Oct 2025.,15000,INR,15000.0,tuition,by 15 Oct 2025,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:tuition;timeframe:by 15 Oct 2025
I need Rs. 10k by in 6 months to buy a rent.,10000,INR,10000.0,rent,in 6 months,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:rent;timeframe:in 6 months
Want to set aside $150k for rent next within 2 weeks.,150000,USD,150000.0,rent,within 2 weeks,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:rent;timeframe:within 2 weeks
"Save $2,000 for laptop in in 5 months.",2000,USD,2000.0,laptop,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:laptop;timeframe:in 5 months
Im aiming to save €3000 in by next Christmas for laptop.,3000,EUR,3000.0,laptop,by next Christmas,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:laptop;timeframe:by next Christmas
Need Rs. 10k for rent by this summer.,10000,INR,10000.0,rent,this summer,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:rent;timeframe:this summer
Gotta save Rs. 10k for vacation ASAP.,10000,INR,10000.0,travel,in 6 months,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:in 6 months
I need 1.5 lakh by by Diwali to buy a tuition.,150000,INR,150000.0,tuition,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:by Diwali
I need 150k dollars by within 2 weeks to buy a gift.,150000,INR,150000.0,gift,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:within 2 weeks
Gotta save one hundred fifty thousand for groceries ASAP.,150000,INR,150000.0,groceries,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by next Christmas
Can I save one hundred fifty thousand over the next by New Year for rent,150000,INR,150000.0,rent,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:by New Year
Save fifteen thousand for medical in within 3 weeks.,15000,INR,15000.0,medical,within 3 weeks,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:medical;timeframe:within 3 weeks
Planning to put $150k towards my gaming rig within by 15 Oct 2025.,150000,USD,150000.0,gaming_pc,by 15 Oct 2025,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by 15 Oct 2025
Can I save one fifty thousand over the next this summer for medical,51000,INR,51000.0,medical,this summer,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:medical;timeframe:this summer
Im aiming to save 150k in before Eid for medical.,150000,INR,150000.0,medical,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:before Eid
Gotta save one fifty thousand for vacation ASAP.,51000,INR,51000.0,travel,within 2 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:within 2 weeks
"Save $2,000 for trip in within 2 weeks.",2000,USD,2000.0,travel,within 2 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:within 2 weeks
Save fifteen thousand for deposit in by next Christmas.,15000,INR,15000.0,deposit,by next Christmas,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:deposit;timeframe:by next Christmas
Im aiming to save 1.5 lakh in in 6 months for medical.,150000,INR,150000.0,medical,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:in 6 months
Save €3000 for medical in next year.,3000,EUR,3000.0,medical,next year,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:medical;timeframe:next year
Want to set aside one hundred fifty thousand for rent next this summer.,150000,INR,150000.0,rent,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:this summer
Need Rs. 10k for vacation by this summer.,10000,INR,10000.0,travel,this summer,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:this summer
"Save 1,50,000 for trip in by 15 Oct 2025.",150000,INR,150000.0,travel,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by 15 Oct 2025
Want to set aside ₹150k for phone next this summer.,150000,INR,150000.0,phone,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:this summer
Gotta save €3000 for bike ASAP.,3000,EUR,3000.0,bike,in 6 months,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:bike;timeframe:in 6 months
Im aiming to save one fifty thousand in in 5 months for smartphone.,51000,INR,51000.0,phone,in 5 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:phone;timeframe:in 5 months
Gotta save £500 for travel ASAP.,500,GBP,500.0,travel,within 3 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:within 3 weeks
Planning to put fifteen thousand towards my gift within next year.,15000,INR,15000.0,gift,next year,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:gift;timeframe:next year
"Need $2,000 for wedding by by 15 Oct 2025.",2000,USD,2000.0,wedding,by 15 Oct 2025,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:wedding;timeframe:by 15 Oct 2025
"Save 1,50,000 for pc in by Diwali.",150000,INR,150000.0,gaming_pc,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
Want to set aside Rs. 10k for pc next by 15 Oct 2025.,10000,INR,10000.0,gaming_pc,by 15 Oct 2025,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gaming_pc;timeframe:by 15 Oct 2025
"I need ₹25,000 by this summer to buy a gift.",25000,INR,25000.0,gift,this summer,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:gift;timeframe:this summer
Want to set aside 2000 USD for smartphone next this summer.,2000,USD,2000.0,phone,this summer,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:this summer
Want to set aside 2000 USD for laptop next within 3 weeks.,2000,USD,2000.0,laptop,within 3 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:laptop;timeframe:within 3 weeks
Planning to put 1.5 lakh towards my emergency fund within in 6 months.,150000,INR,150000.0,emergency_fund,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:in 6 months
Want to set aside £500 for vacation next within 2 weeks.,500,GBP,500.0,travel,within 2 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:within 2 weeks
"Need ₹25,000 for emergency fund by by next Christmas.",25000,INR,25000.0,emergency_fund,by next Christmas,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:emergency_fund;timeframe:by next Christmas
"Gotta save ₹25,000 for gaming pc ASAP.",25000,INR,25000.0,gaming_pc,next year,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:gaming_pc;timeframe:next year
"Im aiming to save ₹25,000 in by Diwali for laptop.",25000,INR,25000.0,laptop,by Diwali,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:laptop;timeframe:by Diwali
Im aiming to save €3000 in next year for bike.,3000,EUR,3000.0,bike,next year,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:bike;timeframe:next year
"Need ₹25,000 for tuition by in 6 months.",25000,INR,25000.0,tuition,in 6 months,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:tuition;timeframe:in 6 months
Need one hundred fifty thousand for wedding by next year.,150000,INR,150000.0,wedding,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:next year
Save fifteen thousand for pc in by New Year.,15000,INR,15000.0,gaming_pc,by New Year,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:gaming_pc;timeframe:by New Year
"Gotta save $2,000 for rent ASAP.",2000,USD,2000.0,rent,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:rent;timeframe:by Diwali
Need fifteen thousand for medical by in 6 months.,15000,INR,15000.0,medical,in 6 months,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:medical;timeframe:in 6 months
Im aiming to save $150k in by New Year for wedding.,150000,USD,150000.0,wedding,by New Year,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by New Year
Planning to put fifteen thousand towards my car within within 2 weeks.,15000,INR,15000.0,car,within 2 weeks,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:car;timeframe:within 2 weeks
Im aiming to save 150k dollars in within 2 weeks for gift.,150000,INR,150000.0,gift,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:within 2 weeks
Gotta save 150k dollars for gift ASAP.,150000,INR,150000.0,gift,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:within 3 weeks
Planning to put £500 towards my laptop within by next Christmas.,500,GBP,500.0,laptop,by next Christmas,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:laptop;timeframe:by next Christmas
Gotta save one fifty thousand for deposit ASAP.,51000,INR,51000.0,deposit,in 6 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:deposit;timeframe:in 6 months
Can I save Rs. 10k over the next next year for vacation,10000,INR,10000.0,travel,next year,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:next year
Im aiming to save 1.5 lakh in by next Christmas for groceries.,150000,INR,150000.0,groceries,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by next Christmas
Im aiming to save €3000 in within 2 weeks for mobile.,3000,EUR,3000.0,phone,within 2 weeks,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:phone;timeframe:within 2 weeks
Gotta save Rs. 10k for gift ASAP.,10000,INR,10000.0,gift,by next Christmas,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gift;timeframe:by next Christmas
Want to set aside €3000 for vacation next by 15 Oct 2025.,3000,EUR,3000.0,travel,by 15 Oct 2025,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:travel;timeframe:by 15 Oct 2025
"Need ₹25,000 for tuition by by 15 Oct 2025.",25000,INR,25000.0,tuition,by 15 Oct 2025,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:tuition;timeframe:by 15 Oct 2025
Planning to put ₹150k towards my bike within before Eid.,150000,INR,150000.0,bike,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:before Eid
Save one fifty thousand for rent in by Diwali.,51000,INR,51000.0,rent,by Diwali,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:rent;timeframe:by Diwali
Save one fifty thousand for smartphone in by next Christmas.,51000,INR,51000.0,phone,by next Christmas,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:phone;timeframe:by next Christmas
Need Rs. 10k for gift by before Eid.,10000,INR,10000.0,gift,before Eid,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gift;timeframe:before Eid
Want to set aside Rs. 10k for gift next by 15 Oct 2025.,10000,INR,10000.0,gift,by 15 Oct 2025,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gift;timeframe:by 15 Oct 2025
Need $150k for medical by next year.,150000,USD,150000.0,medical,next year,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:medical;timeframe:next year
Gotta save €3000 for medical ASAP.,3000,EUR,3000.0,medical,within 2 weeks,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:medical;timeframe:within 2 weeks
Can I save 1.5 lakh over the next in 6 months for travel,150000,INR,150000.0,travel,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 6 months
Gotta save ₹150k for smartphone ASAP.,150000,INR,150000.0,phone,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by next Christmas
Want to set aside one hundred fifty thousand for deposit next by 15 Oct 2025.,150000,INR,150000.0,deposit,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:by 15 Oct 2025
Want to set aside one hundred fifty thousand for trip next next year.,150000,INR,150000.0,travel,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:next year
Im aiming to save one hundred fifty thousand in within 2 weeks for bike.,150000,INR,150000.0,bike,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:within 2 weeks
I need one fifty thousand by by New Year to buy a tuition.,51000,INR,51000.0,tuition,by New Year,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:tuition;timeframe:by New Year
Gotta save 150k for mobile ASAP.,150000,INR,150000.0,phone,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by New Year
I need 150k dollars by in 6 months to buy a gaming rig.,150000,INR,150000.0,gaming_pc,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
Planning to put $150k towards my phone within by New Year.,150000,USD,150000.0,phone,by New Year,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by New Year
"Planning to put $2,000 towards my rent within in 5 months.",2000,USD,2000.0,rent,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:rent;timeframe:in 5 months
Im aiming to save one fifty thousand in within 3 weeks for wedding.,51000,INR,51000.0,wedding,within 3 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:wedding;timeframe:within 3 weeks
Want to set aside one hundred fifty thousand for emergency fund next within 3 weeks.,150000,INR,150000.0,emergency_fund,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:within 3 weeks
Can I save €3000 over the next by New Year for gaming rig,3000,EUR,3000.0,gaming_pc,by New Year,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:gaming_pc;timeframe:by New Year
Gotta save Rs. 10k for bike ASAP.,10000,INR,10000.0,bike,in 6 months,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:bike;timeframe:in 6 months
Im aiming to save one hundred fifty thousand in in 6 months for pc.,150000,INR,150000.0,gaming_pc,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
Save one fifty thousand for trip in by Diwali.,51000,INR,51000.0,travel,by Diwali,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:by Diwali
"Want to set aside 1,50,000 for gift next by 15 Oct 2025.",150000,INR,150000.0,gift,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:by 15 Oct 2025
Gotta save 2000 USD for gaming rig ASAP.,2000,USD,2000.0,gaming_pc,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
Can I save ₹150k over the next in 5 months for trip,150000,INR,150000.0,travel,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 5 months
Gotta save Rs. 10k for medical ASAP.,10000,INR,10000.0,medical,by Diwali,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:medical;timeframe:by Diwali
Im aiming to save fifteen thousand in before Eid for medical.,15000,INR,15000.0,medical,before Eid,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:medical;timeframe:before Eid
Need 1.5 lakh for wedding by by 15 Oct 2025.,150000,INR,150000.0,wedding,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by 15 Oct 2025
Need 1.5 lakh for gift by by 15 Oct 2025.,150000,INR,150000.0,gift,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:by 15 Oct 2025
I need 2000 USD by in 5 months to buy a gaming rig.,2000,USD,2000.0,gaming_pc,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:in 5 months
Want to set aside $150k for travel next by Diwali.,150000,USD,150000.0,travel,by Diwali,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by Diwali
Want to set aside 2000 USD for gift next within 3 weeks.,2000,USD,2000.0,gift,within 3 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gift;timeframe:within 3 weeks
I need 150k dollars by within 3 weeks to buy a smartphone.,150000,INR,150000.0,phone,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:within 3 weeks
Planning to put 150k dollars towards my vacation within in 6 months.,150000,INR,150000.0,travel,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 6 months
Im aiming to save one fifty thousand in in 6 months for trip.,51000,INR,51000.0,travel,in 6 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:in 6 months
Need one hundred fifty thousand for travel by by next Christmas.,150000,INR,150000.0,travel,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by next Christmas
I need one fifty thousand by within 3 weeks to buy a rent.,51000,INR,51000.0,rent,within 3 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:rent;timeframe:within 3 weeks
Save ₹150k for gaming rig in this summer.,150000,INR,150000.0,gaming_pc,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:this summer
Im aiming to save Rs. 10k in by 15 Oct 2025 for gift.,10000,INR,10000.0,gift,by 15 Oct 2025,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gift;timeframe:by 15 Oct 2025
Need 150k for groceries by by Diwali.,150000,INR,150000.0,groceries,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by Diwali
Need £500 for gift by by 15 Oct 2025.,500,GBP,500.0,gift,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:gift;timeframe:by 15 Oct 2025
"Planning to put $2,000 towards my wedding within in 6 months.",2000,USD,2000.0,wedding,in 6 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:wedding;timeframe:in 6 months
Im aiming to save €3000 in within 2 weeks for vacation.,3000,EUR,3000.0,travel,within 2 weeks,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:travel;timeframe:within 2 weeks
Planning to put ₹150k towards my gaming pc within this summer.,150000,INR,150000.0,gaming_pc,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:this summer
Im aiming to save fifteen thousand in before Eid for bike.,15000,INR,15000.0,bike,before Eid,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:bike;timeframe:before Eid
Need $150k for emergency fund by in 6 months.,150000,USD,150000.0,emergency_fund,in 6 months,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:in 6 months
"I need $2,000 by before Eid to buy a emergency fund.",2000,USD,2000.0,emergency_fund,before Eid,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:emergency_fund;timeframe:before Eid
Planning to put £500 towards my medical within by next Christmas.,500,GBP,500.0,medical,by next Christmas,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:medical;timeframe:by next Christmas
Im aiming to save one fifty thousand in within 2 weeks for vacation.,51000,INR,51000.0,travel,within 2 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:within 2 weeks
I need 150k dollars by by next Christmas to buy a mobile.,150000,INR,150000.0,phone,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by next Christmas
Can I save 2000 USD over the next by 15 Oct 2025 for phone,2000,USD,2000.0,phone,by 15 Oct 2025,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
Want to set aside ₹150k for phone next by next Christmas.,150000,INR,150000.0,phone,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by next Christmas
Need ₹150k for pc by in 6 months.,150000,INR,150000.0,gaming_pc,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
I need one hundred fifty thousand by by 15 Oct 2025 to buy a deposit.,150000,INR,150000.0,deposit,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:by 15 Oct 2025
I need one fifty thousand by before Eid to buy a bike.,51000,INR,51000.0,bike,before Eid,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:bike;timeframe:before Eid
I need 150k by by next Christmas to buy a trip.,150000,INR,150000.0,travel,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by next Christmas
Gotta save one fifty thousand for groceries ASAP.,51000,INR,51000.0,groceries,next year,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:groceries;timeframe:next year
"Save ₹25,000 for laptop in within 3 weeks.",25000,INR,25000.0,laptop,within 3 weeks,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:laptop;timeframe:within 3 weeks
Can I save one fifty thousand over the next by next Christmas for smartphone,51000,INR,51000.0,phone,by next Christmas,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:phone;timeframe:by next Christmas
"Need 1,50,000 for deposit by by New Year.",150000,INR,150000.0,deposit,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:by New Year
Can I save fifteen thousand over the next by next Christmas for tuition,15000,INR,15000.0,tuition,by next Christmas,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:tuition;timeframe:by next Christmas
Gotta save fifteen thousand for mobile ASAP.,15000,INR,15000.0,phone,this summer,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:phone;timeframe:this summer
"Can I save ₹25,000 over the next this summer for travel",25000,INR,25000.0,travel,this summer,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:travel;timeframe:this summer
Save 2000 USD for mobile in in 6 months.,2000,USD,2000.0,phone,in 6 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:in 6 months
"I need 1,50,000 by by next Christmas to buy a tuition.",150000,INR,150000.0,tuition,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:by next Christmas
Save Rs. 10k for smartphone in within 3 weeks.,10000,INR,10000.0,phone,within 3 weeks,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:phone;timeframe:within 3 weeks
Save 150k dollars for mobile in by Diwali.,150000,INR,150000.0,phone,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by Diwali
Planning to put 2000 USD towards my gaming pc within by Diwali.,2000,USD,2000.0,gaming_pc,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
Gotta save 150k dollars for groceries ASAP.,150000,INR,150000.0,groceries,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:this summer
Can I save 1.5 lakh over the next before Eid for rent,150000,INR,150000.0,rent,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:before Eid
Want to set aside 150k dollars for laptop next before Eid.,150000,INR,150000.0,laptop,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:before Eid
Im aiming to save £500 in by New Year for vacation.,500,GBP,500.0,travel,by New Year,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:by New Year
Im aiming to save fifteen thousand in by New Year for laptop.,15000,INR,15000.0,laptop,by New Year,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:laptop;timeframe:by New Year
I need $150k by in 5 months to buy a gift.,150000,USD,150000.0,gift,in 5 months,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:gift;timeframe:in 5 months
Im aiming to save 150k dollars in next year for groceries.,150000,INR,150000.0,groceries,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:next year
"Need 1,50,000 for medical by by Diwali.",150000,INR,150000.0,medical,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:by Diwali
Want to set aside Rs. 10k for trip next next year.,10000,INR,10000.0,travel,next year,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:next year
Gotta save 2000 USD for wedding ASAP.,2000,USD,2000.0,wedding,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:wedding;timeframe:by Diwali
"Planning to put ₹25,000 towards my tuition within before Eid.",25000,INR,25000.0,tuition,before Eid,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:tuition;timeframe:before Eid
Can I save one fifty thousand over the next by 15 Oct 2025 for emergency fund,51000,INR,51000.0,emergency_fund,by 15 Oct 2025,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:emergency_fund;timeframe:by 15 Oct 2025
"I need ₹25,000 by by 15 Oct 2025 to buy a laptop.",25000,INR,25000.0,laptop,by 15 Oct 2025,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:laptop;timeframe:by 15 Oct 2025
Can I save one hundred fifty thousand over the next this summer for vacation,150000,INR,150000.0,travel,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:this summer
"Gotta save $2,000 for trip ASAP.",2000,USD,2000.0,travel,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:in 5 months
Want to set aside 1.5 lakh for car next by New Year.,150000,INR,150000.0,car,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:car;timeframe:by New Year
Need 150k dollars for tuition by in 5 months.,150000,INR,150000.0,tuition,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:in 5 months
I need fifteen thousand by within 3 weeks to buy a bike.,15000,INR,15000.0,bike,within 3 weeks,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:bike;timeframe:within 3 weeks
Need £500 for travel by in 5 months.,500,GBP,500.0,travel,in 5 months,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:in 5 months
Save £500 for smartphone in by Diwali.,500,GBP,500.0,phone,by Diwali,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:phone;timeframe:by Diwali
Im aiming to save 1.5 lakh in next year for gaming pc.,150000,INR,150000.0,gaming_pc,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:next year
Im aiming to save 150k in by Diwali for smartphone.,150000,INR,150000.0,phone,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by Diwali
Im aiming to save ₹150k in by 15 Oct 2025 for laptop.,150000,INR,150000.0,laptop,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:by 15 Oct 2025
